subject,task_type,ordering,output,chosen,condition,subject_race,subject_age,subject_gender,character_race,character_age,character_gender,subj_college,self_ability,awareness,shared_features
1,full_ranking,0,1,True,Competitive,South Asian,18-24,Man,East/Southeast Asian,18-24,Man,yes,8,no,2
1,full_ranking,0,2,True,Competitive,South Asian,18-24,Man,Black,18-24,Man,yes,8,no,2
1,full_ranking,0,3,True,Competitive,South Asian,18-24,Man,White,39-45,Man,yes,8,no,1
1,full_ranking,0,4,True,Competitive,South Asian,18-24,Man,South Asian,45+,Woman,yes,8,no,1
1,full_ranking,0,5,False,Competitive,South Asian,18-24,Man,White,25-31,Man,yes,8,no,1
1,full_ranking,0,6,False,Competitive,South Asian,18-24,Man,Black,18-24,Woman,yes,8,no,1
1,full_ranking,0,7,False,Competitive,South Asian,18-24,Man,White,25-31,Woman,yes,8,no,0
1,full_ranking,0,8,False,Competitive,South Asian,18-24,Man,South Asian,39-45,Man,yes,8,no,2
1,full_ranking,0,9,False,Competitive,South Asian,18-24,Man,Latino,45+,Woman,yes,8,no,0
1,choice_ranking,0,1,True,Competitive,South Asian,18-24,Man,East/Southeast Asian,18-24,Man,yes,8,no,2
1,choice_ranking,0,2,True,Competitive,South Asian,18-24,Man,South Asian,39-45,Man,yes,8,no,2
1,choice_ranking,0,3,True,Competitive,South Asian,18-24,Man,South Asian,45+,Woman,yes,8,no,1
1,choice_ranking,0,4,True,Competitive,South Asian,18-24,Man,Black,18-24,Man,yes,8,no,2
1,choice_ranking,0,5,False,Competitive,South Asian,18-24,Man,White,25-31,Woman,yes,8,no,0
1,choice_ranking,0,6,False,Competitive,South Asian,18-24,Man,Black,18-24,Woman,yes,8,no,1
1,choice_ranking,0,7,False,Competitive,South Asian,18-24,Man,White,39-45,Man,yes,8,no,1
1,choice_ranking,0,8,False,Competitive,South Asian,18-24,Man,White,25-31,Man,yes,8,no,1
1,choice_ranking,0,9,False,Competitive,South Asian,18-24,Man,Latino,45+,Woman,yes,8,no,0
2,full_ranking,0,1,True,Casual,South Asian,18-24,Man,South Asian,18-24,Man,yes,8,no,3
