subject,output,chosen,condition,subject_race,subject_age,subject_gender,character_race,character_age,character_gender,subj_college,self_ability,awareness,shared_features
1,1,1,Competitive,White,32-38,Man,East/Southeast Asian,18-24,Woman,yes,6,yes,0
1,2,1,Competitive,White,32-38,Man,Black,18-24,Man,yes,6,yes,1
1,3,1,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Man,yes,6,yes,1
1,4,1,Competitive,White,32-38,Man,Latino,25-31,Man,yes,6,yes,1
1,5,0,Competitive,White,32-38,Man,Latino,18-24,Man,yes,6,yes,1
1,6,0,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Woman,yes,6,yes,0
1,7,0,Competitive,White,32-38,Man,South Asian,32-38,Man,yes,6,yes,2
1,8,0,Competitive,White,32-38,Man,White,18-24,Man,yes,6,yes,2
1,9,0,Competitive,White,32-38,Man,Black,25-31,Man,yes,6,yes,1
2,1,1,Casual,White,32-38,Man,South Asian,25-31,Man,yes,8,yes,1
2,2,1,Casual,White,32-38,Man,South Asian,18-24,Man,yes,8,yes,1
2,3,1,Casual,White,32-38,Man,East/Southeast Asian,25-31,Woman,yes,8,yes,0
2,4,1,Casual,White,32-38,Man,Black,25-31,Woman,yes,8,yes,0
2,5,0,Casual,White,32-38,Man,East/Southeast Asian,39-45,Man,yes,8,yes,1
2,6,0,Casual,White,32-38,Man,White,18-24,Man,yes,8,yes,2
2,7,0,Casual,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,8,yes,1
2,8,0,Casual,White,32-38,Man,South Asian,18-24,Woman,yes,8,yes,0
2,9,0,Casual,White,32-38,Man,Latino,39-45,Woman,yes,8,yes,0
3,1,1,Casual,White,32-38,Man,Latino,18-24,Man,yes,10,yes,1
3,2,1,Casual,White,32-38,Man,Latino,25-31,Man,yes,10,yes,1
3,3,1,Casual,White,32-38,Man,Black,18-24,Man,yes,10,yes,1
3,4,1,Casual,White,32-38,Man,East/Southeast Asian,39-45,Man,yes,10,yes,1
3,5,0,Casual,White,32-38,Man,White,25-31,Woman,yes,10,yes,1
3,6,0,Casual,White,32-38,Man,Black,18-24,Woman,yes,10,yes,0
3,7,0,Casual,White,32-38,Man,Black,32-38,Man,yes,10,yes,2
3,8,0,Casual,White,32-38,Man,South Asian,45+,Woman,yes,10,yes,0
3,9,0,Casual,White,32-38,Man,East/Southeast Asian,32-38,Woman,yes,10,yes,1
4,1,1,Competitive,White,32-38,Woman,White,18-24,Man,yes,8,yes,1
4,2,1,Competitive,White,32-38,Woman,East/Southeast Asian,39-45,Woman,yes,8,yes,1
4,3,1,Competitive,White,32-38,Woman,East/Southeast Asian,32-38,Woman,yes,8,yes,2
4,4,1,Competitive,White,32-38,Woman,Latino,18-24,Man,yes,8,yes,0
4,5,0,Competitive,White,32-38,Woman,East/Southeast Asian,45+,Man,yes,8,yes,0
4,6,0,Competitive,White,32-38,Woman,Latino,39-45,Woman,yes,8,yes,1
4,7,0,Competitive,White,32-38,Woman,East/Southeast Asian,32-38,Man,yes,8,yes,1
4,8,0,Competitive,White,32-38,Woman,Black,32-38,Woman,yes,8,yes,2
4,9,0,Competitive,White,32-38,Woman,White,32-38,Man,yes,8,yes,2
5,1,1,Competitive,White,32-38,Man,East/Southeast Asian,25-31,Woman,yes,8,yes,0
5,2,1,Competitive,White,32-38,Man,White,25-31,Man,yes,8,yes,2
5,3,1,Competitive,White,32-38,Man,Latino,25-31,Man,yes,8,yes,1
5,4,1,Competitive,White,32-38,Man,Black,25-31,Woman,yes,8,yes,0
5,5,0,Competitive,White,32-38,Man,South Asian,25-31,Man,yes,8,yes,1
5,6,0,Competitive,White,32-38,Man,White,45+,Woman,yes,8,yes,1
5,7,0,Competitive,White,32-38,Man,South Asian,32-38,Man,yes,8,yes,2
