subject,task_type,ordering,output,chosen,condition,subject_race,subject_age,subject_gender,character_race,character_age,character_gender,subj_college,self_ability,awareness,shared_features
1,full_ranking,1,1,True,Casual,South Asian,18-24,Man,South Asian,32-38,Man,yes,5,yes,2
1,full_ranking,1,2,True,Casual,South Asian,18-24,Man,East/Southeast Asian,25-31,Man,yes,5,yes,1
1,full_ranking,1,3,True,Casual,South Asian,18-24,Man,East/Southeast Asian,45+,Man,yes,5,yes,1
1,full_ranking,1,4,True,Casual,South Asian,18-24,Man,East/Southeast Asian,25-31,Woman,yes,5,yes,0
1,full_ranking,1,5,False,Casual,South Asian,18-24,Man,White,32-38,Woman,yes,5,yes,0
1,full_ranking,1,6,False,Casual,South Asian,18-24,Man,Latino,18-24,Woman,yes,5,yes,1
1,full_ranking,1,7,False,Casual,South Asian,18-24,Man,Latino,25-31,Man,yes,5,yes,1
1,full_ranking,1,8,False,Casual,South Asian,18-24,Man,Latino,39-45,Man,yes,5,yes,1
1,full_ranking,1,9,False,Casual,South Asian,18-24,Man,Latino,39-45,Woman,yes,5,yes,0
1,choice_ranking,1,1,True,Casual,South Asian,18-24,Man,South Asian,32-38,Man,yes,5,yes,2
1,choice_ranking,1,2,True,Casual,South Asian,18-24,Man,East/Southeast Asian,25-31,Woman,yes,5,yes,0
1,choice_ranking,1,3,True,Casual,South Asian,18-24,Man,East/Southeast Asian,25-31,Man,yes,5,yes,1
1,choice_ranking,1,4,True,Casual,South Asian,18-24,Man,Latino,39-45,Woman,yes,5,yes,0
1,choice_ranking,1,5,False,Casual,South Asian,18-24,Man,Latino,39-45,Man,yes,5,yes,1
1,choice_ranking,1,6,False,Casual,South Asian,18-24,Man,White,32-38,Woman,yes,5,yes,0
1,choice_ranking,1,7,False,Casual,South Asian,18-24,Man,East/Southeast Asian,45+,Man,yes,5,yes,1
1,choice_ranking,1,8,False,Casual,South Asian,18-24,Man,Latino,18-24,Woman,yes,5,yes,1
1,choice_ranking,1,9,False,Casual,South Asian,18-24,Man,Latino,25-31,Man,yes,5,yes,1
2,full_ranking,1,1,True,Casual,East/Southeast Asian,32-38,Man,South Asian,32-38,Man,no,9,yes,2
2,full_ranking,1,2,True,Casual,East/Southeast Asian,32-38,Man,Latino,32-38,Man,no,9,yes,2
2,full_ranking,1,3,True,Casual,East/Southeast Asian,32-38,Man,White,25-31,Woman,no,9,yes,0
2,full_ranking,1,4,True,Casual,East/Southeast Asian,32-38,Man,White,18-24,Woman,no,9,yes,0
2,full_ranking,1,5,False,Casual,East/Southeast Asian,32-38,Man,Latino,25-31,Man,no,9,yes,1
2,full_ranking,1,6,False,Casual,East/Southeast Asian,32-38,Man,South Asian,39-45,Man,no,9,yes,1
2,full_ranking,1,7,False,Casual,East/Southeast Asian,32-38,Man,South Asian,25-31,Man,no,9,yes,1
2,full_ranking,1,8,False,Casual,East/Southeast Asian,32-38,Man,Black,32-38,Man,no,9,yes,2
2,full_ranking,1,9,False,Casual,East/Southeast Asian,32-38,Man,East/Southeast Asian,25-31,Woman,no,9,yes,1
2,choice_ranking,1,1,True,Casual,East/Southeast Asian,32-38,Man,Black,32-38,Man,no,9,yes,2
2,choice_ranking,1,2,True,Casual,East/Southeast Asian,32-38,Man,Latino,32-38,Man,no,9,yes,2
2,choice_ranking,1,3,True,Casual,East/Southeast Asian,32-38,Man,Latino,25-31,Man,no,9,yes,1
2,choice_ranking,1,4,True,Casual,East/Southeast Asian,32-38,Man,South Asian,32-38,Man,no,9,yes,2
2,choice_ranking,1,5,False,Casual,East/Southeast Asian,32-38,Man,White,18-24,Woman,no,9,yes,0
2,choice_ranking,1,6,False,Casual,East/Southeast Asian,32-38,Man,White,25-31,Woman,no,9,yes,0
2,choice_ranking,1,7,False,Casual,East/Southeast Asian,32-38,Man,East/Southeast Asian,25-31,Woman,no,9,yes,1
2,choice_ranking,1,8,False,Casual,East/Southeast Asian,32-38,Man,South Asian,39-45,Man,no,9,yes,1
2,choice_ranking,1,9,False,Casual,East/Southeast Asian,32-38,Man,South Asian,25-31,Man,no,9,yes,1
3,full_ranking,0,1,True,Casual,White,32-38,Man,White,25-31,Man,yes,8,yes,2
3,full_ranking,0,2,True,Casual,White,32-38,Man,East/Southeast Asian,18-24,Woman,yes,8,yes,0
3,full_ranking,0,3,True,Casual,White,32-38,Man,South Asian,18-24,Man,yes,8,yes,1
